Prefecture,City,amount_2008,amount_2009,amount_2010,amount_2011,amount_2012,amount_2013,amount_2014,amount_2015,amount_2016,amount_2017,amount_2018,amount_2019,number_2008,number_2009,number_2010,number_2011,number_2012,number_2013,number_2014,number_2015,number_2016,number_2017,number_2018,number_2019
北海道,北海道,4660,52685,2770,3670,5688,10792,1798,2144,13457,1641,88327,8209,54,38,25,32,139,267,64,39,51,98,3996,324
北海道,札幌市,397801,514419,11073,100330,121572,139244,200533,106100,364428,331472,505546,456499,385,455,88,247,365,177,170,200,300,247,1219,2240
北海道,函館市,5177,4745,3301,3846,5139,14880,10573,17032,11380,169100,340921,579859,90,54,47,53,66,150,257,240,207,4211,10744,43753
北海道,小樽市,56757,22717,30036,23209,11971,27136,38989,33039,50892,121904,176349,152107,183,256,185,163,165,204,239,193,781,5552,7644,7346
北海道,旭川市,14090,33603,10271,7161,8414,22468,41834,103494,182256,230240,596161,1313437,82,86,98,84,95,150,224,2806,5404,7269,26142,81238
北海道,室蘭市,4705,4912,5815,3385,4955,6889,6710,9792,27349,15222,44023,22729,43,47,41,36,54,76,98,218,660,733,1375,1191
北海道,釧路市,2845,4941,3703,4265,10580,9766,9377,42654,293861,417664,781641,1025393,33,27,38,33,45,87,115,437,12798,16720,33729,40251
北海道,帯広市,12430,25952,65489,11307,25970,47460,29336,27016,18822,51451,57382,74473,45,98,133,113,154,148,166,200,224,1403,1977,2716
北海道,北見市,2208,2937,3115,9470,13330,6987,11268,131431,183504,293528,479175,249188,19,17,13,15,21,22,31,8617,9015,16327,28276,18870
北海道,夕張市,28219,64434,30391,21058,20056,24857,91181,207131,312212,360028,352585,379645,222,264,168,162,163,242,3321,7488,11130,13519,13773,15382
北海道,岩見沢市,5010,3298,8345,3570,3280,13711,17554,20042,194220,444210,631161,749745,23,21,41,22,17,356,1251,1372,8226,17884,30339,40324
北海道,網走市,8563,14787,13927,268317,14426,12992,57579,593311,735429,644915,1455305,1320424,66,59,49,54,54,66,76,16029,17447,13772,51623,39913
北海道,留萌市,44480,41770,4158,6823,9930,6670,4753,14519,18132,49550,79020,281252,57,58,47,35,47,42,69,143,315,3376,5563,18044
北海道,苫小牧市,656,1170,830,655,1070,1153,1232,5315,88741,147381,279310,462452,5,11,11,9,10,10,23,325,7202,12010,18321,29141
北海道,稚内市,2908,1898,571,315,583,2077,3501,265629,1075437,1547284,1060433,2106439,62,24,27,19,19,32,62,16388,60792,90872,69321,139892
